,Energy (MeV),mu/rho (cm2/g),mu_en/rho (cm2/g),Z
0,0.001,7.2170000000000005,6.82,1
1,0.0015,2.148,1.7519999999999998,1
2,0.002,1.0590000000000002,0.6643,1
3,0.003,0.5612,0.1693,1
4,0.004,0.4546,0.06548999999999999,1
5,0.005,0.4193,0.032780000000000004,1
6,0.006,0.4042,0.01996,1
7,0.008,0.3914,0.0116,1
8,0.01,0.3854,0.009849,1
9,0.015,0.3764,0.01102,1
10,0.02,0.3695,0.01355,1
11,0.03,0.357,0.01863,1
12,0.04,0.3458,0.02315,1
13,0.05,0.3355,0.027089999999999996,1
14,0.06,0.326,0.03053,1
15,0.08,0.3091,0.0362,1
16,0.1,0.2944,0.04063,1
17,0.15,0.2651,0.04813,1
18,0.2,0.2429,0.052539999999999996,1
19,0.3,0.2112,0.05695,1
20,0.4,0.1893,0.0586,1
21,0.5,0.1729,0.059,1
22,0.6,0.1599,0.05875,1
23,0.8,0.1405,0.05739,1
24,1.0,0.1263,0.055560000000000005,1
25,1.25,0.1129,0.053110000000000004,1
26,1.5,0.1027,0.05075,1
27,2.0,0.08769,0.0465,1
28,3.0,0.06921000000000001,0.03992,1
29,4.0,0.05806,0.035230000000000004,1
30,5.0,0.05049,0.03174,1
31,6.0,0.04498,0.02905,1
32,8.0,0.03746,0.02515,1
33,10.0,0.03254,0.02247,1
34,15.0,0.02539,0.018369999999999997,1
35,20.0,0.02153,0.016059999999999998,1
0,0.001,60.84,60.45,2
1,0.0015,16.76,16.38,2
2,0.002,6.8629999999999995,6.502999999999999,2
3,0.003,2.0069999999999997,1.681,2
4,0.004,0.9329,0.6379,2
5,0.005,0.5766,0.3061,2
6,0.006,0.4195,0.1671,2
7,0.008,0.2933,0.06446,2
8,0.01,0.2476,0.0326,2
9,0.015,0.2092,0.012459999999999999,2
10,0.02,0.196,0.00941,2
11,0.03,0.1838,0.010029999999999999,2
12,0.04,0.1763,0.0119,2
13,0.05,0.1703,0.01375,2
14,0.06,0.1651,0.01544,2
15,0.08,0.1562,0.01826,2
16,0.1,0.1486,0.02047,2
17,0.15,0.1336,0.02424,2
18,0.2,0.1224,0.02647,2
19,0.3,0.1064,0.02868,2
20,0.4,0.09535,0.02951,2
21,0.5,0.08707000000000001,0.029710000000000004,2
22,0.6,0.08054,0.029589999999999998,2
23,0.8,0.07076,0.0289,2
24,1.0,0.06362000000000001,0.02797,2
25,1.25,0.05687999999999999,0.026739999999999996,2
26,1.5,0.05173,0.02555,2
27,2.0,0.044219999999999995,0.02343,2
28,3.0,0.03503,0.02019,2
29,4.0,0.02949,0.0179,2
30,5.0,0.025769999999999998,0.01622,2
31,6.0,0.02307,0.01493,2
32,8.0,0.0194,0.013080000000000001,2
33,10.0,0.01703,0.01183,2
34,15.0,0.013630000000000001,0.009948,2
35,20.0,0.01183,0.008914,2
0,0.001,233.9,233.5,3
1,0.0015,66.68,66.29,3
2,0.002,27.07,26.72,3
3,0.003,7.5489999999999995,7.249,3
4,0.004,3.114,2.84,3
5,0.005,1.619,1.364,3
6,0.006,0.9875,0.7477,3
7,0.008,0.5054,0.2888,3
8,0.01,0.3395,0.1387,3
9,0.015,0.2176,0.0391,3
10,0.02,0.1856,0.01885,3
11,0.03,0.1644,0.01138,3
12,0.04,0.1551,0.011309999999999999,3
13,0.05,0.1488,0.01237,3
14,0.06,0.1438,0.013609999999999999,3
15,0.08,0.1356,0.015880000000000002,3
16,0.1,0.1289,0.017759999999999998,3
17,0.15,0.1158,0.020980000000000002,3
18,0.2,0.106,0.0229,3
19,0.3,0.0921,0.02481,3
20,0.4,0.08249,0.025519999999999998,3
21,0.5,0.07532,0.025689999999999998,3
22,0.6,0.06967999999999999,0.02559,3
23,0.8,0.06121,0.024990000000000002,3
24,1.0,0.055029999999999996,0.02419,3
25,1.25,0.049210000000000004,0.023119999999999998,3
26,1.5,0.04476,0.0221,3
27,2.0,0.0383,0.02028,3
28,3.0,0.030430000000000002,0.01753,3
29,4.0,0.02572,0.015609999999999999,3
30,5.0,0.02257,0.014219999999999998,3
31,6.0,0.0203,0.01316,3
32,8.0,0.01725,0.01167,3
33,10.0,0.01529,0.01066,3
34,15.0,0.01252,0.009182,3
35,20.0,0.011090000000000001,0.008385,3
0,0.001,604.1,603.5,4
1,0.0015,179.7,179.1,4
2,0.002,74.69,74.22,4
3,0.003,21.27,20.9,4
4,0.004,8.685,8.367,4
5,0.005,4.369,4.081,4
6,0.006,2.5269999999999997,2.26,4
7,0.008,1.124,0.8839,4
8,0.01,0.6466,0.4255,4
9,0.015,0.307,0.1143,4
10,0.02,0.2251,0.0478,4
11,0.03,0.1792,0.01898,4
12,0.04,0.164,0.01438,4
13,0.05,0.1554,0.01401,4
14,0.06,0.1493,0.01468,4
15,0.08,0.1401,0.01658,4
16,0.1,0.1328,0.018359999999999998,4
17,0.15,0.119,0.02157,4
18,0.2,0.1089,0.023530000000000002,4
19,0.3,0.09462999999999999,0.025480000000000003,4
20,0.4,0.08471000000000001,0.0262,4
21,0.5,0.07739,0.026389999999999997,4
22,0.6,0.07155,0.026269999999999998,4
23,0.8,0.06286,0.02565,4
24,1.0,0.05652000000000001,0.02483,4
25,1.25,0.050539999999999995,0.02373,4
26,1.5,0.04597,0.022680000000000002,4
27,2.0,0.03938,0.02083,4
28,3.0,0.03138,0.01806,4
29,4.0,0.026639999999999997,0.01617,4
30,5.0,0.023469999999999998,0.014790000000000001,4
31,6.0,0.02121,0.01377,4
32,8.0,0.01819,0.012329999999999999,4
33,10.0,0.01627,0.01138,4
34,15.0,0.013609999999999999,0.01001,4
35,20.0,0.01227,0.009294,4
0,0.001,1229.0,1228.0,5
1,0.0015,376.6,375.9,5
2,0.002,159.7,159.1,5
3,0.003,46.67,46.17,5
4,0.004,19.27,18.86,5
5,0.005,9.683,9.332,5
6,0.006,5.537999999999999,5.223,5
7,0.008,2.346,2.072,5
8,0.01,1.255,1.006,5
9,0.015,0.4827,0.2698,5
10,0.02,0.3014,0.1084,5
